6.1101,17.592
4.5277,9.1302
8.5186,13.662
7.0032,11.854
5.8598,6.8233
8.3829,11.886
7.4764,4.3483
8.5781,12
6.4862,6.5987
8.0546,3.8166
5.7107,3.2522
14.164,15.505
5.734,3.1551
3.4084,7.2258
5.6407,0.71618
4.3794,3.5129
6.3654,5.3048
5.1301,0.56077
5.4296,3.6518
7.0708,5.3893
2.1891,-3.1386
20.27,-21.767
5.4901,-4.263
-6.3261,5.1875
5.5649,3.0825
8.945,-23.638
7.5402,-6.7504
5.3077,-1.8396
7.4239,4.2885
7.6031,4.9981
6.3328,1.4233
6.3589,-1.4211
6.2742,2.4756
5.6397,4.6042
9.3102,3.9624
9.4536,5.4141
8.8254,-5.1694
5.1793,-0.74279
21.279,-13.929
14.908,-12.054
18.959,18.054
7.2182,4.8852
8.2951,5.7442
10.236,4.7754
5.4994,1.0173
20.341,20.992
10.136,6.6799
7.3345,4.0259
6.0062,1.2784
7.2259,3.3411
5.0269,-2.6807
6.5479,0.29678
7.5386,3.8845
5.0365,5.7014
10.274,6.7526
5.1077,2.0576
5.7292,0.47953
5.1884,0.20421
6.3557,0.67861
9.7687,7.5435
6.5159,5.3436
8.5172,4.2415
9.1802,6.7981
6.002,0.92695
5.5204,-0.152
5.0594,2.8214
5.7077,1.8451
7.6366,4.2959
5.8707,8.2029
5.3054,1.9869
8.2934,0.14454
13.394,7.0551
5.4369,0.61705
